ID;Word;Lemma;POS;Extra;Features;HeadPosition;Relation;_;Else
44;музыка;музыка;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#15.951#16.229
45;ты;ты;PRON;_;Case=Nom|Number=Sing|Person=2;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#16.229#16.507
46;очень;очень;ADV;_;Degree=Pos;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#16.507#16.785
47;громкая;громкий;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#16.785#17.063
48;ты;ты;PRON;_;Case=Nom|Number=Sing|Person=2;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#17.063#17.341
49;прям;прямо;PART;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#17.341#17.619
50;ммм;ммм;INTJ;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#17.619#17.897
51;/;/;PUNCT;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#17.897#18.175
52;просто;просто;PART;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#18.175#18.453
53;бомба;бомба;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#18.453#18.731
54;в;в;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#18.731#19.009
55;этом;этот;DET;_;Case=Loc|Gender=Masc|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#19.009#19.287
56;плане;план;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#19.287#19.565
57;и;и;CCONJ;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#19.565#19.843
58;слушать;слушать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#19.843#20.121
59;про;про;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#20.121#20.399
60;то;то;DET;_;Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#20.399#20.677
61;что;что;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#20.677#20.955
62;ты;ты;PRON;_;Case=Nom|Number=Sing|Person=2;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#20.955#21.233
63;была;быть;AUX;_;Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#21.233#21.511
64;/;/;PUNCT;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#21.511#21.789
65;очень;очень;ADV;_;Degree=Pos;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#21.789#22.067
66;застенчивым;застенчивый;ADJ;_;Case=Ins|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#22.067#22.345
67;ребенком;ребенок;NOUN;_;Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#22.345#22.623
68;и;и;CCONJ;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#22.623#22.901
69;в;в;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#22.901#23.179
70;жизни;жизнь;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#23.179#23.457
71;как;как;SCONJ;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#23.457#23.735
72;мне;я;PRON;_;Case=Dat|Number=Sing|Person=1;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#23.735#24.013
73;кажется;казаться;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#24.013#24.291
74;ты;ты;PRON;_;Case=Nom|Number=Sing|Person=2;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#24.291#24.569
75;тоже;тоже;PART;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#24.569#24.847
76;довольно;довольно;ADV;_;Degree=Pos;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#24.847#25.125
77;скромный;скромный;ADJ;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#25.125#25.403
78;воспитанный;воспитать;ADJ;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#25.403#25.681
79;ну;ну;PART;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#25.681#25.959
80;то;то;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#25.959#26.237
